Gene,Collapsing model,P value,No. participants,No. cases with QV,Proportion cases with QV,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
A4GALT,flexdmg,0.0323,429799,31,0.00175072005421585,1057,0.00256496122225134,0.68,0.459,0.971
ABAT,flexdmg,0.0249,429799,86,0.00485683627943751,1545,0.00374916280830494,1.29,1.02,1.6
ABCA1,flexdmg,0.0676,429799,348,0.0196532444795843,7315,0.0177508905778321,1.11,0.991,1.24
ABCB11,flexdmg,0.0459,429799,180,0.0101654712825436,4814,0.0116818574493074,0.859,0.735,0.998
ABCB4,flexdmg,0.0457,429799,128,0.00722877957869769,3518,0.00853692864700115,0.833,0.692,0.995
ABCC3,flexdmg,0.04,429799,344,0.01942734511775,7118,0.0172728419867408,1.12,1,1.25
ABCC5,flexdmg,0.0674,429799,124,0.00700288021686339,3380,0.0082020519689778,0.844,0.699,1.01
ABHD1,flexdmg,0.0636,429799,35,0.00197661941605015,1117,0.00271055977791367,0.724,0.501,1.01
ABHD16A,flexdmg,0.0596,429799,22,0.00124244649008867,767,0.00186123486988342,0.663,0.413,1.01
ABHD4,flexdmg,0.0961,429799,77,0.00434856271531033,1470,0.00356716461372703,1.22,0.953,1.53
ABHD8,flexdmg,0.0528,429799,35,0.00197661941605015,575,0.00139531949176397,1.41,0.972,1.99
ABI1,flexdmg,0.0799,429799,37,0.0020895690969673,1161,0.00281733205206604,0.741,0.519,1.03
ABI3,flexdmg,0.088,429799,46,0.00259784266109448,829,0.0020116867107345,1.3,0.941,1.75
ABT1,flexdmg,0.0334,429799,19,0.00107302196871294,261,0.000633353717131126,1.7,1.01,2.71
ACE2,flexdmg,0.0902,429799,33,0.001863669735133,1042,0.00252856158333576,0.738,0.505,1.04
ACOT1,flexdmg,0.0767,429799,21,0.00118597164963009,316,0.000766819059821593,1.51,0.918,2.34
ACOXL,flexdmg,0.0508,429799,108,0.00609928276952618,2007,0.00487027168690487,1.22,0.994,1.48
ACRBP,flexdmg,0.0896,429799,80,0.00451798723668606,1542,0.00374188288052183,1.22,0.96,1.53
ACTR10,flexdmg,0.0723,429799,124,0.00700288021686339,2451,0.00594770099880609,1.19,0.981,1.42
ACVR1B,flexdmg,0.0601,429799,40,0.00225899361834303,680,0.00165011696417305,1.37,0.968,1.88
ACVR1C,flexdmg,0.0221,429799,68,0.00384028915118315,1185,0.00287557147433097,1.34,1.04,1.72
ACYP2,flexdmg,0.0864,429799,17,0.000960072287795787,248,0.000601807363404288,1.59,0.909,2.59
ADAM21,flexdmg,0.00592,429799,47,0.00265431750155306,702,0.00170350310124924,1.54,1.12,2.07
ADAM33,flexdmg,0.0678,429799,60,0.00338849042751454,1770,0.00429515739203867,0.787,0.598,1.02
ADAMTS3,flexdmg,0.036,429799,182,0.0102784209634608,3601,0.00873833998233404,1.18,1.01,1.37
ADAMTS5,flexdmg,0.0701,429799,122,0.00688993053594624,2390,0.00579967580054939,1.19,0.98,1.42
ADAMTS6,flexdmg,0.0956,429799,113,0.00638165697181905,2242,0.00544053269658232,1.18,0.965,1.42
ADAR,flexdmg,0.0826,429799,38,0.00214604393742588,1173,0.00284645176319851,0.749,0.527,1.04
ADD2,flexdmg,0.0686,429799,19,0.00107302196871294,664,0.00161129068266309,0.656,0.392,1.03
ADGRE1,flexdmg,0.0557,429799,75,0.00423561303439318,2155,0.00522941479087194,0.799,0.626,1.01
ADGRL3,flexdmg,0.0573,429799,86,0.00485683627943751,2443,0.00592828785805111,0.812,0.647,1.01
ADH1A,flexdmg,0.00396,429799,22,0.00124244649008867,924,0.00224221775719985,0.555,0.346,0.845
ADH5,flexdmg,0.0598,429799,63,0.00355791494889027,1148,0.00278578569833921,1.28,0.975,1.65
ADIG,flexdmg,0.00592,429799,9,0.000508273564127181,68,0.000165011696417305,2.94,1.29,5.93
ADNP,flexdmg,0.0629,429799,52,0.00293669170384594,920,0.00223251118682236,1.31,0.972,1.74
AFG3L2,flexdmg,0.0964,429799,127,0.00717230473823911,2540,0.00616367218970521,1.17,0.966,1.39
AFMID,flexdmg,0.0928,429799,47,0.00265431750155306,853,0.00206992613299943,1.29,0.937,1.73
AGER,flexdmg,0.000102,429799,103,0.0058169085672333,1587,0.00385108179726857,1.52,1.23,1.86
AGXT,flexdmg,0.0207,429799,171,0.00965719771841645,3310,0.00803218698737175,1.2,1.03,1.41
AGXT2,flexdmg,0.0524,429799,77,0.00434856271531033,2227,0.00540413305766673,0.797,0.627,1
AHI1,flexdmg,0.0392,429799,109,0.00615575760998475,2058,0.00499403045921784,1.23,1.01,1.5
AIDA,flexdmg,0.0393,429799,11,0.000621223245044333,481,0.00116721508789299,0.535,0.265,0.966
AK8,flexdmg,0.0941,429799,112,0.00632518213136048,2204,0.00534832027799618,1.18,0.964,1.43
AKAP3,flexdmg,0.0618,429799,122,0.00688993053594624,2403,0.00583122215427623,1.19,0.986,1.43
AKAP7,flexdmg,0.0328,429799,17,0.000960072287795787,657,0.00159430418450249,0.598,0.346,0.966
AKIP1,flexdmg,0.035,429799,57,0.00321906590613882,996,0.00241693602399464,1.34,1.01,1.76
AKIRIN1,flexdmg,0.0392,429799,12,0.000677698085502908,137,0.000332450035428982,1.94,0.98,3.51
AKR1B10,flexdmg,0.0729,429799,42,0.00237194329926018,1294,0.00314007551711754,0.754,0.54,1.03
AKR1B15,flexdmg,0.00166,429799,56,0.00316259106568024,820,0.00198984692738515,1.58,1.18,2.07
AKR7A2,flexdmg,0.03,429799,66,0.003727339470266,1164,0.00282461197984916,1.33,1.02,1.71
ALDH1L2,flexdmg,0.0546,429799,204,0.0115208674535494,4126,0.0100123273443794,1.15,0.994,1.33
ALDH3A1,flexdmg,0.0815,429799,159,0.00897949963291354,3204,0.00777496287236831,1.15,0.977,1.36
ALKBH4,flexdmg,0.0265,429799,21,0.00118597164963009,794,0.00192675421993147,0.62,0.382,0.955
ALLC,flexdmg,0.0294,429799,27,0.00152482069238154,942,0.00228589732389855,0.658,0.431,0.964
ALOX12B,flexdmg,0.0583,429799,119,0.00672050601457051,2319,0.00562738417634897,1.2,0.987,1.44
ALPL,flexdmg,0.0325,429799,141,0.00796295250465917,3971,0.00963619774225173,0.831,0.697,0.984
ALX4,flexdmg,0.0472,429799,102,0.00576043372677472,2880,0.00698873067179174,0.819,0.665,0.998
AMER3,flexdmg,0.0649,429799,34,0.00192014457559157,567,0.001375906351009,1.39,0.952,1.97
AMY2B,flexdmg,0.0584,429799,179,0.0101089964420851,3585,0.00869951370082409,1.16,0.991,1.35
ANGEL1,flexdmg,0.0446,429799,93,0.00525216016264754,1727,0.00419081176048067,1.25,1,1.54
ANGPTL7,flexdmg,0.0343,429799,58,0.00327554074659739,1795,0.00435582345689797,0.755,0.571,0.981
ANKFY1,flexdmg,0.0684,429799,121,0.00683345569548766,2365,0.00573900973569009,1.19,0.982,1.43
ANKRD27,flexdmg,0.0507,429799,135,0.00762410346190772,3721,0.0090295370936587,0.843,0.704,1
ANKRD46,flexdmg,0.0159,429799,4,0.000225899361834303,278,0.000674606641235452,0.336,0.091,0.871
ANKRD50,flexdmg,0.0453,429799,109,0.00615575760998475,2055,0.00498675053143473,1.23,1,1.49
ANKS3,flexdmg,0.0688,429799,58,0.00327554074659739,1040,0.00252370829814702,1.29,0.969,1.68
ANO6,flexdmg,0.0901,429799,83,0.00468741175806178,2312,0.00561039767818837,0.827,0.655,1.03
ANO8,flexdmg,0.0222,429799,125,0.00705935505732196,3594,0.00872135348417344,0.813,0.674,0.973
ANTXR1,flexdmg,0.0453,429799,98,0.00553453436494042,1862,0.00451840851072091,1.23,0.997,1.51
ANTXR2,flexdmg,0.0415,429799,64,0.00361438978934884,1140,0.00276637255758423,1.31,1,1.68
ANXA3,flexdmg,0.0194,429799,81,0.00457446207714463,1429,0.00346767226735777,1.32,1.04,1.65
AP3B2,flexdmg,0.0485,429799,53,0.00299316654430451,1615,0.00391902778991099,0.759,0.566,0.999
AP3M2,flexdmg,0.0334,429799,105,0.00592985824815045,3044,0.00738670005726877,0.811,0.66,0.986
AP4S1,flexdmg,0.0271,429799,32,0.00180719489467442,471,0.00114294866194927,1.52,1.02,2.17
APBB2,flexdmg,0.0142,429799,39,0.00220251877788445,1317,0.0031958882967881,0.679,0.48,0.934
APCDD1,flexdmg,0.0703,429799,77,0.00434856271531033,1454,0.00352833833221708,1.24,0.972,1.56
APLF,flexdmg,0.0489,429799,15,0.000847122606878636,563,0.00136619978063151,0.604,0.336,1.01
APOBEC3F,flexdmg,0.0335,429799,10,0.000564748404585757,439,0.00106529609892937,0.518,0.247,0.963
APOL4,flexdmg,0.0452,429799,10,0.000564748404585757,107,0.000259650757597818,1.97,0.915,3.77
AQP4,flexdmg,0.0492,429799,63,0.00355791494889027,1122,0.00272269299088553,1.29,0.987,1.67
AQP8,flexdmg,0.0235,429799,55,0.00310611622522166,909,0.00220581811828427,1.39,1.04,1.83
ARFGAP2,flexdmg,0.028,429799,50,0.00282374202292879,844,0.00204808634965008,1.39,1.02,1.85
ARHGAP21,flexdmg,0.0584,429799,102,0.00576043372677472,1953,0.00473923298680877,1.22,0.986,1.49
ARHGAP33,flexdmg,0.0403,429799,24,0.00135539617100582,848,0.00205779292002757,0.659,0.42,0.987
ARHGEF18,flexdmg,0.0698,429799,61,0.00344496526797312,1809,0.00438979645321918,0.787,0.6,1.02
ARHGEF26,flexdmg,0.049,429799,91,0.00513921048173039,1681,0.00407918620113955,1.24,0.996,1.54
ARIH1,flexdmg,0.0829,429799,45,0.00254136782063591,800,0.0019413140754977,1.31,0.946,1.77
ARL14EP,flexdmg,0.0287,429799,3,0.000169424521375727,229,0.000555701154111218,0.31,0.0634,0.917
ARL15,flexdmg,0.0486,429799,17,0.000960072287795787,642,0.00155790454558691,0.622,0.36,1
ARMC7,flexdmg,0.0161,429799,18,0.00101654712825436,722,0.00175203595313668,0.577,0.34,0.918
ARMC8,flexdmg,0.0992,429799,14,0.00079064776642006,510,0.00123758772312979,0.632,0.343,1.07
ARPC2,flexdmg,0.0471,429799,6,0.000338849042751454,308,0.000747405919066616,0.441,0.161,0.972
ARPC3,flexdmg,0.0133,429799,18,0.00101654712825436,748,0.00181512866059035,0.563,0.331,0.896
ARPC5,flexdmg,0.0113,429799,3,0.000169424521375727,259,0.000628500431942382,0.272,0.0557,0.804
ARSB,flexdmg,0.00599,429799,166,0.00937482351612357,3070,0.00744979276472244,1.25,1.06,1.47
ARSJ,flexdmg,0.0531,429799,60,0.00338849042751454,1754,0.00425633111052872,0.775,0.589,1
ASB2,flexdmg,0.0186,429799,134,0.00756762862144914,2509,0.00608844626927968,1.24,1.03,1.48
ASB9,flexdmg,0.0871,429799,10,0.000564748404585757,130,0.000315463537268377,1.77,0.828,3.36
ASIC5,flexdmg,0.0521,429799,98,0.00553453436494042,1854,0.00449899536996593,1.23,0.993,1.51
ASNA1,flexdmg,0.0853,429799,22,0.00124244649008867,345,0.000837191695058385,1.48,0.918,2.29
ASPRV1,flexdmg,0.0908,429799,4,0.000225899361834303,220,0.000533861370761869,0.418,0.113,1.09
ASPSCR1,flexdmg,0.0189,429799,125,0.00705935505732196,2333,0.00566135717267018,1.25,1.04,1.5
ATAD3A,flexdmg,0.0774,429799,246,0.0138928107528096,5082,0.0123321976645992,1.12,0.983,1.28
ATF7,flexdmg,0.0352,429799,24,0.00135539617100582,347,0.000842044980247129,1.6,1.01,2.43
ATF7IP,flexdmg,0.067,429799,28,0.00158129553284012,452,0.0010968424526562,1.43,0.94,2.1
ATG13,flexdmg,0.0484,429799,59,0.00333201558705597,1046,0.00253826815371325,1.31,0.991,1.71
ATG3,flexdmg,0.0663,429799,16,0.000903597447337211,600,0.00145598555662328,0.621,0.353,1.02
ATG4D,flexdmg,0.0298,429799,51,0.00288021686338736,859,0.00208448598856566,1.38,1.02,1.83
ATOH1,flexdmg,0.000516,429799,52,0.00293669170384594,1922,0.00466400706638324,0.629,0.468,0.829
ATP10A,flexdmg,0.0877,429799,193,0.0108996442085051,5077,0.0123200644516273,0.881,0.759,1.02
ATP1A1,flexdmg,0.0975,429799,28,0.00158129553284012,895,0.00217184512196306,0.724,0.478,1.05
ATP1A3,flexdmg,0.00737,429799,67,0.00378381431072457,2158,0.00523669471865506,0.724,0.558,0.923
ATP2B1,flexdmg,0.0643,429799,46,0.00259784266109448,1408,0.00341671277287596,0.757,0.552,1.02
ATP4A,flexdmg,0.0186,429799,277,0.0156435308070255,5566,0.0135066926802753,1.16,1.02,1.31
ATP5MD,flexdmg,0.07,429799,11,0.000621223245044333,142,0.000344583248400843,1.76,0.861,3.26
ATP6V1G1,flexdmg,0.0273,429799,6,0.000338849042751454,329,0.000798365413548431,0.419,0.152,0.921
ATRN,flexdmg,0.061,429799,104,0.00587338340769187,1991,0.00483144540539491,1.21,0.986,1.48
ATXN2L,flexdmg,0.0348,429799,43,0.00242841813971876,714,0.0017326228123817,1.4,1.01,1.91
B3GALT2,flexdmg,0.0476,429799,21,0.00118597164963009,301,0.000730419420906011,1.62,0.987,2.52
B3GNT6,flexdmg,0.0123,429799,66,0.003727339470266,1114,0.00270327985013055,1.39,1.06,1.78
B4GALT2,flexdmg,0.0838,429799,63,0.00355791494889027,1150,0.00279063898352795,1.26,0.96,1.62
B4GALT5,flexdmg,0.0709,429799,2,0.000112949680917151,157,0.000380982887316424,0.297,0.0357,1.09
BAIAP2,flexdmg,0.0445,429799,16,0.000903597447337211,616,0.00149481183813323,0.604,0.343,0.989
BAZ1B,flexdmg,0.0442,429799,28,0.00158129553284012,947,0.00229803053687041,0.681,0.45,0.99
BAZ2B,flexdmg,0.0494,429799,148,0.00835827638786921,2882,0.00699358395698048,1.18,0.996,1.4
BBX,flexdmg,0.0373,429799,171,0.00965719771841645,3310,0.00803218698737175,1.18,1.01,1.38
BCAR1,flexdmg,0.0264,429799,75,0.00423561303439318,1323,0.00321044815235433,1.31,1.02,1.66
BCAS4,flexdmg,0.0169,429799,42,0.00237194329926018,665,0.00161371732525747,1.49,1.06,2.03
BCHE,flexdmg,0.0718,429799,122,0.00688993053594624,3348,0.00812439940595789,0.844,0.698,1.01
BCL2L11,flexdmg,0.0133,429799,20,0.00112949680917151,797,0.00193403414771459,0.585,0.355,0.91
BCL7A,flexdmg,0.0349,429799,0,0,94,0.00022810440387098,0,0,0.92
BDP1,flexdmg,0.0262,429799,33,0.001863669735133,1111,0.00269599992234744,0.679,0.465,0.96
BECN1,flexdmg,0.0395,429799,48,0.00271079234201163,821,0.00199227356997952,1.37,0.999,1.83
BIN3,flexdmg,0.0982,429799,58,0.00327554074659739,1052,0.00255282800927948,1.26,0.949,1.64
BIRC5,flexdmg,0.071,429799,2,0.000112949680917151,155,0.00037612960212768,0.293,0.0352,1.08
BIRC7,flexdmg,0.0759,429799,30,0.00169424521375727,483,0.00117206837308174,1.42,0.948,2.06
BLK,flexdmg,0.0202,429799,122,0.00688993053594624,2245,0.00544781262436543,1.25,1.03,1.5
BMP6,flexdmg,0.0981,429799,66,0.003727339470266,1877,0.00455480814963649,0.81,0.623,1.04
BORA,flexdmg,0.0538,429799,24,0.00135539617100582,366,0.0008881511895402,1.53,0.967,2.31
BORCS5,flexdmg,0.0552,429799,12,0.000677698085502908,491,0.00119148151383672,0.566,0.291,0.999
BRCA1,flexdmg,0.0492,429799,371,0.0209521658101316,9548,0.0231695834910651,0.9,0.808,1
BRCC3,flexdmg,0.0512,429799,35,0.00197661941605015,579,0.00140502606214146,1.42,0.981,2
BSN,flexdmg,0.0461,429799,206,0.0116338171344666,4150,0.0100705667666443,1.16,1,1.33
BSND,flexdmg,0.0673,429799,33,0.001863669735133,1066,0.00258680100560069,0.722,0.494,1.02
BSPH1,flexdmg,0.00398,429799,15,0.000847122606878636,146,0.000354289818778331,2.39,1.31,4.08
BTBD18,flexdmg,0.0551,429799,100,0.00564748404585757,1910,0.00463488735525077,1.22,0.99,1.5
BTNL9,flexdmg,0.0018,429799,35,0.00197661941605015,1354,0.00328567407277986,0.602,0.417,0.841
C10ORF105,flexdmg,0.0113,429799,1,0.0000564748404585757,165,0.000400396028071402,0.135,0.0034,0.762
C11ORF49,flexdmg,0.0955,429799,94,0.00530863500310612,1816,0.00440678295137979,1.19,0.959,1.47
C11ORF52,flexdmg,0.0472,429799,1,0.0000564748404585757,132,0.000320316822457121,0.174,0.00438,0.987
C11ORF58,flexdmg,0.0792,429799,0,0,76,0.000184424837172282,0,0,1.12
C11ORF68,flexdmg,0.0987,429799,13,0.000734172925961484,184,0.000446502237364472,1.68,0.875,2.94
C11ORF71,flexdmg,0.0813,429799,8,0.000451798723668606,345,0.000837191695058385,0.539,0.231,1.07
C11ORF80,flexdmg,0.0721,429799,18,0.00101654712825436,263,0.00063820700231987,1.57,0.913,2.53
C12ORF66,flexdmg,0.0213,429799,33,0.001863669735133,500,0.00121332129718607,1.54,1.05,2.19
C14ORF178,flexdmg,0.0443,429799,7,0.00039532388321003,71,0.000172291624200421,2.27,0.879,4.92
C16ORF46,flexdmg,0.0886,429799,15,0.000847122606878636,544,0.00132009357133844,0.636,0.353,1.06
C16ORF87,flexdmg,0.0968,429799,1,0.0000564748404585757,115,0.000279063898352795,0.2,0.00503,1.14
C17ORF64,flexdmg,0.0919,429799,17,0.000960072287795787,257,0.000623647146753638,1.54,0.884,2.52
C17ORF98,flexdmg,0.0968,429799,23,0.00129892133054724,360,0.000873591333973967,1.45,0.904,2.2
C18ORF25,flexdmg,0.0874,429799,35,0.00197661941605015,600,0.00145598555662328,1.36,0.94,1.92
C1ORF115,flexdmg,0.018,429799,12,0.000677698085502908,131,0.000317890179862749,2.13,1.07,3.86
C1ORF122,flexdmg,0.0252,429799,3,0.000169424521375727,13,0.0000315463537268377,5.45,0.997,19.8
C1ORF127,flexdmg,0.0666,429799,10,0.000564748404585757,415,0.00100705667666443,0.562,0.267,1.04
C1ORF61,flexdmg,0.0393,429799,14,0.00079064776642006,171,0.000414955883637634,1.88,1.01,3.25
C1QB,flexdmg,0.0787,429799,86,0.00485683627943751,1653,0.00401124020849713,1.22,0.968,1.51
C1R,flexdmg,0.0676,429799,40,0.00225899361834303,1243,0.00301631674480456,0.746,0.53,1.02
C20ORF27,flexdmg,0.0853,429799,5,0.000282374202292879,259,0.000628500431942382,0.448,0.144,1.06
C22ORF42,flexdmg,0.036,429799,6,0.000338849042751454,327,0.000793512128359687,0.431,0.157,0.949
C2ORF80,flexdmg,0.0379,429799,2,0.000112949680917151,180,0.000436795666986984,0.256,0.0308,0.94
C2ORF88,flexdmg,0.0678,429799,10,0.000564748404585757,422,0.00102404317482504,0.549,0.261,1.02
C3ORF18,flexdmg,0.0603,429799,22,0.00124244649008867,333,0.000808071983925919,1.53,0.947,2.36
C3ORF20,flexdmg,0.0377,429799,62,0.00350144010843169,1091,0.00264746707045999,1.32,1,1.71
C3ORF70,flexdmg,0.0724,429799,43,0.00242841813971876,745,0.00180784873280724,1.34,0.96,1.82
C5ORF15,flexdmg,0.0529,429799,19,0.00107302196871294,264,0.000640633644914242,1.62,0.96,2.59
C5ORF22,flexdmg,0.0712,429799,46,0.00259784266109448,814,0.00197528707181891,1.32,0.955,1.77
C6ORF106,flexdmg,0.0647,429799,18,0.00101654712825436,665,0.00161371732525747,0.636,0.375,1.01
C6ORF201,flexdmg,0.0272,429799,2,0.000112949680917151,192,0.000465915378119449,0.245,0.0295,0.899
C7ORF77,flexdmg,0.0482,429799,11,0.000621223245044333,456,0.00110654902303369,0.556,0.275,1
C8B,flexdmg,0.0494,429799,84,0.00474388659852036,2423,0.00587975500616367,0.803,0.638,0.999
C8ORF34,flexdmg,0.0563,429799,46,0.00259784266109448,1430,0.00347009890995215,0.751,0.547,1.01
C8ORF37,flexdmg,0.0546,429799,14,0.00079064776642006,544,0.00132009357133844,0.598,0.325,1.01
C9ORF129,flexdmg,0.0705,429799,7,0.00039532388321003,325,0.000788658843170942,0.506,0.202,1.05
C9ORF16,flexdmg,0.00378,429799,26,0.00146834585192297,320,0.000776525630199082,1.91,1.23,2.85
C9ORF57,flexdmg,0.0169,429799,23,0.00129892133054724,309,0.000749832561660988,1.75,1.09,2.68
C9ORF72,flexdmg,0.0636,429799,23,0.00129892133054724,798,0.00193646079030896,0.674,0.424,1.02
CA9,flexdmg,0.0991,429799,68,0.00384028915118315,1289,0.00312794230414568,1.24,0.953,1.58
CAAP1,flexdmg,0.0105,429799,13,0.000734172925961484,596,0.00144627898624579,0.503,0.266,0.866
CABP1,flexdmg,0.0375,429799,5,0.000282374202292879,288,0.000698873067179174,0.405,0.131,0.957
CABP7,flexdmg,0.004,429799,45,0.00254136782063591,652,0.00158217097153063,1.6,1.16,2.17
CACNA2D2,flexdmg,0.0671,429799,86,0.00485683627943751,1614,0.00391660114731662,1.23,0.979,1.53
CACNB2,flexdmg,0.02,429799,200,0.0112949680917151,3890,0.00943963969210759,1.19,1.03,1.37
CACNB3,flexdmg,0.0391,429799,58,0.00327554074659739,1789,0.00434126360133174,0.759,0.574,0.987
CACUL1,flexdmg,0.0279,429799,38,0.00214604393742588,608,0.00147539869737826,1.47,1.03,2.04
CAD,flexdmg,0.0987,429799,310,0.0175072005421585,7924,0.0192287159178048,0.907,0.806,1.02
CAMK2B,flexdmg,0.0409,429799,36,0.00203309425650873,578,0.00140259941954709,1.45,1.01,2.04
CAMK2G,flexdmg,0.0131,429799,18,0.00101654712825436,742,0.00180056880502412,0.568,0.334,0.904
CAMSAP3,flexdmg,0.0855,429799,22,0.00124244649008867,341,0.000827485124680896,1.48,0.916,2.28
CAND1,flexdmg,0.022,429799,41,0.0023154684588016,1360,0.0033002339283461,0.699,0.499,0.954
CAPNS2,flexdmg,0.068,429799,27,0.00152482069238154,880,0.00213544548304747,0.695,0.455,1.02
CARD11,flexdmg,0.0116,429799,7,0.00039532388321003,393,0.000953670539588247,0.412,0.164,0.857
CASC1,flexdmg,0.0297,429799,38,0.00214604393742588,1245,0.0030211700299933,0.701,0.493,0.968
CASKIN2,flexdmg,0.0897,429799,94,0.00530863500310612,2620,0.00635780359725498,0.834,0.671,1.02
CASP5,flexdmg,0.0329,429799,40,0.00225899361834303,1306,0.00316919522825,0.712,0.506,0.976
CASP7,flexdmg,0.0447,429799,70,0.0039532388321003,1255,0.00304543645593702,1.29,1,1.64
CASP8,flexdmg,0.000857,429799,86,0.00485683627943751,1367,0.0033172204265067,1.48,1.18,1.84
CATIP,flexdmg,0.0324,429799,13,0.000734172925961484,542,0.00131524028614969,0.552,0.292,0.952
CAVIN4,flexdmg,0.0142,429799,52,0.00293669170384594,838,0.00203352649408385,1.44,1.07,1.91
CBARP,flexdmg,0.0466,429799,51,0.00288021686338736,874,0.00212088562748124,1.35,0.998,1.79
CCAR1,flexdmg,0.021,429799,53,0.00299316654430451,886,0.00215000533861371,1.4,1.04,1.85
CCDC103,flexdmg,0.0226,429799,65,0.00367086462980742,1117,0.00271055977791367,1.36,1.04,1.74
CCDC115,flexdmg,0.0231,429799,29,0.0016377703732987,406,0.000985216893315085,1.6,1.06,2.34
CCDC124,flexdmg,0.0807,429799,19,0.00107302196871294,290,0.000703726352367918,1.55,0.918,2.46
CCDC127,flexdmg,0.0748,429799,33,0.001863669735133,547,0.00132737349912156,1.4,0.951,1.99
CCDC13,flexdmg,0.0489,429799,59,0.00333201558705597,1051,0.00255040136668511,1.31,0.989,1.7
CCDC136,flexdmg,0.0278,429799,47,0.00265431750155306,761,0.00184667501431719,1.41,1.02,1.89
CCDC142,flexdmg,0.0716,429799,25,0.00141187101146439,831,0.00201653999592324,0.689,0.443,1.03
CCDC15,flexdmg,0.00737,429799,52,0.00293669170384594,791,0.00191947429214836,1.5,1.11,1.99
CCDC160,flexdmg,0.0496,429799,16,0.000903597447337211,221,0.000536288013356241,1.68,0.942,2.79
CCDC24,flexdmg,0.0319,429799,13,0.000734172925961484,534,0.00129582714539472,0.558,0.295,0.963
CCDC80,flexdmg,0.0424,429799,36,0.00203309425650873,1163,0.00282218533725479,0.712,0.496,0.992
CCDC81,flexdmg,0.0245,429799,70,0.0039532388321003,1225,0.00297263717810586,1.33,1.03,1.7
CCHCR1,flexdmg,0.0394,429799,38,0.00214604393742588,608,0.00147539869737826,1.42,0.995,1.97
CCL11,flexdmg,0.0334,429799,7,0.00039532388321003,359,0.000871164691379595,0.458,0.183,0.954
CCND3,flexdmg,0.0875,429799,22,0.00124244649008867,347,0.000842044980247129,1.47,0.908,2.26
CCNO,flexdmg,0.0856,429799,17,0.000960072287795787,608,0.00147539869737826,0.654,0.378,1.06
CCZ1,flexdmg,0.0383,429799,2,0.000112949680917151,184,0.000446502237364472,0.255,0.0307,0.936
CD151,flexdmg,0.00572,429799,73,0.00412266335347603,1182,0.00286829154654786,1.42,1.1,1.8
CD163,flexdmg,0.0858,429799,46,0.00259784266109448,808,0.00196072721625268,1.31,0.949,1.76
CD164,flexdmg,0.0947,429799,23,0.00129892133054724,367,0.000890577832134572,1.46,0.916,2.23
CD177,flexdmg,0.0558,429799,75,0.00423561303439318,1381,0.00335119342282791,1.26,0.983,1.59
CD27,flexdmg,0.0134,429799,40,0.00225899361834303,599,0.00145355891402891,1.52,1.07,2.1
CD300C,flexdmg,0.0462,429799,6,0.000338849042751454,309,0.000749832561660988,0.449,0.163,0.989
CD52,flexdmg,0.0792,429799,3,0.000169424521375727,22,0.0000533861370761869,3.22,0.618,10.7
CD55,flexdmg,0.0665,429799,31,0.00175072005421585,513,0.0012448676509129,1.41,0.945,2.02
CD69,flexdmg,0.0421,429799,9,0.000508273564127181,97,0.000235384331654097,2.17,0.965,4.3
CDC42BPG,flexdmg,0.073,429799,130,0.00734172925961484,3523,0.00854906185997302,0.851,0.709,1.02
CDH10,flexdmg,0.094,429799,48,0.00271079234201163,861,0.0020893392737544,1.3,0.947,1.73
CDH12,flexdmg,0.0385,429799,88,0.00496978596035466,1622,0.0039360142880716,1.26,1,1.56
CDH22,flexdmg,0.0293,429799,47,0.00265431750155306,1491,0.00361812410820885,0.728,0.532,0.973
CDH4,flexdmg,0.0151,429799,158,0.00892302479245496,2978,0.0072265416460402,1.23,1.04,1.44
CDH5,flexdmg,0.0437,429799,107,0.0060428079290676,2023,0.00490909796841482,1.22,0.998,1.49
CDH8,flexdmg,0.0467,429799,26,0.00146834585192297,906,0.00219853819050115,0.669,0.434,0.987
CDHR4,flexdmg,0.095,429799,42,0.00237194329926018,1256,0.0030478630985314,0.766,0.549,1.04
CDK2AP1,flexdmg,0.0846,429799,7,0.00039532388321003,75,0.00018199819457791,2.16,0.841,4.69
CDK4,flexdmg,0.0326,429799,28,0.00158129553284012,426,0.00103374974520253,1.54,1.01,2.25
CDK5R2,flexdmg,0.0825,429799,8,0.000451798723668606,349,0.000846898265435874,0.527,0.226,1.05
CDR2L,flexdmg,0.0691,429799,52,0.00293669170384594,1575,0.00382196208613611,0.769,0.572,1.01
CEBPD,flexdmg,0.00832,429799,9,0.000508273564127181,70,0.000169864981606049,2.78,1.22,5.59
CELA2A,flexdmg,0.0555,429799,90,0.00508273564127181,1683,0.0040840394863283,1.24,0.99,1.53
CELF1,flexdmg,0.0775,429799,6,0.000338849042751454,293,0.000711006280151034,0.48,0.175,1.06
CELSR3,flexdmg,0.0197,429799,258,0.0145705088383125,6930,0.0168166331789989,0.862,0.758,0.977
CEMIP,flexdmg,0.0909,429799,145,0.00818885186649348,2900,0.00703726352367918,1.16,0.973,1.37
CEND1,flexdmg,0.0575,429799,8,0.000451798723668606,85,0.000206264620521631,2.21,0.923,4.55
CEP250,flexdmg,0.0567,429799,90,0.00508273564127181,1712,0.00415441212156509,1.23,0.984,1.52
CEP290,flexdmg,0.00533,429799,210,0.0118597164963009,5876,0.0142589518845306,0.824,0.714,0.947
